file,line,end_line,loc,kind,name,bucket,status,blockers,signals,risk_score,risk,action,phase,priority,rust_blocks
src/masstree/compiler.hh,606,606,1,typedef,cacheline_t,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/compiler.hh,630,633,4,struct,value_prefetcher,needs-transpiler,unmigrated,"operator-overload, template","operator-overload, template",35,medium,probe-current-transpiler,probe,0,0
src/masstree/compiler.hh,1054,1054,1,using,integral_constant,needs-transpiler,unmigrated,template,template,20,medium,probe-current-transpiler,probe,10,0
src/masstree/compiler.hh,1055,1055,1,typedef,true_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/compiler.hh,1056,1056,1,typedef,false_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/compiler.hh,1059,1063,5,struct,integral_constant,needs-transpiler,unmigrated,template,"static-state, template",30,medium,probe-current-transpiler,probe,0,0
src/masstree/compiler.hh,1071,1071,1,using,conditional,needs-transpiler,unmigrated,template,template,20,medium,probe-current-transpiler,probe,10,0
src/masstree/compiler.hh,1205,1205,1,typedef,enable_rvalue_reference,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/compiler.hh,1219,1221,3,struct,has_fast_int_multiply,needs-transpiler,unmigrated,template,"inheritance, template",35,medium,probe-current-transpiler,probe,0,0
src/masstree/compiler.hh,1271,1271,1,struct,uninitialized_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/hashcode.hh,39,39,1,typedef,hashcode_t,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/json.hh,48,425,378,class,Json,boundary-review,unmigrated,"void*, template, operator-overload, raw-pointer","constructor-overloads, large-body, nested-type, operator-overload, raw-pointer, static-state, template, void*",100,high,isolate-or-probe-unsafe-boundary,floor-review,0,0
src/masstree/json.hh,428,438,11,struct,Json,refactor-then-DSL,unmigrated,raw-pointer,"inheritance, raw-pointer, static-state",37,medium,reshape-first,reshape,23,0
src/masstree/json.hh,530,530,1,typedef,value_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/json.hh,531,531,1,typedef,pointer_type,boundary-review,unmigrated,raw-pointer,raw-pointer,12,low,review-manually,floor-review,0,0
src/masstree/json.hh,532,532,1,typedef,reference_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/json.hh,533,533,1,typedef,iterator_category,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/json.hh,537,537,1,typedef,const,boundary-review,unmigrated,raw-pointer,raw-pointer,12,low,review-manually,floor-review,0,0
src/masstree/json.hh,617,617,1,typedef,difference_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/json.hh,619,619,1,typedef,pointer,boundary-review,unmigrated,raw-pointer,raw-pointer,12,low,review-manually,floor-review,0,0
src/masstree/json.hh,620,620,1,typedef,reference,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/json.hh,879,1332,454,class,Json_proxy_base,needs-transpiler,unmigrated,"template, operator-overload, raw-pointer","large-body, operator-overload, raw-pointer, template",57,high,probe-current-transpiler,probe,0,0
src/masstree/json.hh,1335,1362,28,class,Json_object_proxy,needs-transpiler,unmigrated,template,"inheritance, template",35,medium,probe-current-transpiler,probe,0,0
src/masstree/json.hh,1365,1392,28,class,Json_object_str_proxy,needs-transpiler,unmigrated,template,"inheritance, template",35,medium,probe-current-transpiler,probe,0,0
src/masstree/json.hh,1395,1422,28,class,Json_array_proxy,needs-transpiler,unmigrated,template,"inheritance, template",35,medium,probe-current-transpiler,probe,0,0
src/masstree/json.hh,1424,1449,26,class,Json_get_proxy,refactor-then-DSL,unmigrated,raw-pointer,"inheritance, raw-pointer",27,medium,reshape-first,reshape,33,0
src/masstree/json.hh,1600,1606,7,struct,Json_iterator_initializer,needs-transpiler,unmigrated,template,"static-state, template",30,medium,probe-current-transpiler,probe,0,0
src/masstree/kpermuter.hh,24,48,25,class,identity_kpermuter,needs-transpiler,unmigrated,operator-overload,operator-overload,15,low,probe-current-transpiler,probe,15,0
src/masstree/kpermuter.hh,52,52,1,typedef,storage_type,needs-transpiler,unmigrated,template,template,20,medium,probe-current-transpiler,probe,10,0
src/masstree/kpermuter.hh,53,53,1,typedef,value_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/kpermuter.hh,70,70,1,typedef,info,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/kpermuter.hh,343,343,1,typedef,type,needs-transpiler,unmigrated,template,template,20,medium,probe-current-transpiler,probe,10,0
src/masstree/ksearch.hh,25,30,6,struct,key_comparator,needs-transpiler,unmigrated,"operator-overload, template","operator-overload, template",35,medium,probe-current-transpiler,probe,0,0
src/masstree/ksearch.hh,32,42,11,struct,key_indexed_position,refactor-then-DSL,unmigrated,none,constructor-overloads,10,low,reshape-first,reshape,50,0
src/masstree/ksearch.hh,137,154,18,struct,key_bound_binary,needs-transpiler,unmigrated,template,"static-state, template",30,medium,probe-current-transpiler,probe,0,0
src/masstree/ksearch.hh,156,173,18,struct,key_bound_linear,needs-transpiler,unmigrated,template,"static-state, template",30,medium,probe-current-transpiler,probe,0,0
